Product Name,Sale Price,Actual Price,Ratings,Offer,Number of Ratings,Number of Reviews
"Redmi 9A Sport (Metallic Blue, 32 GB)","₹8,000",Same as Sale Price,4.2,No Offer,"5,850", 437
"Redmi 6 Pro (Black, 32 GB)","₹8,500",Same as Sale Price,4.3,No Offer,"11,479", 832
"Redmi 6 Pro (Rose Gold, 32 GB)","₹9,499",Same as Sale Price,4.3,No Offer,"11,479", 832
"Mi 11 Lite (Tuscany Coral, 128 GB)","₹19,999","₹24,999",4.2,20% off,"13,080"," 1,426"
"Redmi 9 (Sky Blue, 128 GB)","₹9,990",Same as Sale Price,4.2,No Offer,"26,778"," 1,529"
"Redmi 6 Pro (Lake Blue, 32 GB)","₹9,499",Same as Sale Price,4.3,No Offer,"11,479", 832
"Redmi 6A (Gold, 32 GB)","₹6,799",Same as Sale Price,4.3,No Offer,"57,132"," 3,902"
"Redmi 8A Dual (Sky White, 64 GB)","₹9,999",Same as Sale Price,4.2,No Offer,"18,219"," 1,189"
"Xiaomi 11i 5G (Pacific Pearl, 128 GB)","₹26,999","₹31,999",4.2,15% off,"20,305"," 2,574"
"Redmi 8 (Onyx Black, 64 GB)","₹10,749","₹10,999",4.4,2% off,"9,42,112"," 67,058"
"Redmi 9A (Midnight Black, 32 GB)","₹8,299",Same as Sale Price,4.3,No Offer,"14,489", 911
"Redmi 6 Pro (Red, 32 GB)","₹8,999",Same as Sale Price,4.3,No Offer,"11,479", 832
"Redmi Note 7 Pro (Nebula Red, 128 GB)","₹14,049","₹17,999",4.5,21% off,"3,20,420"," 26,388"
"Redmi 8A (Midnight Black, 32 GB)","₹7,549","₹8,999",4.4,16% off,"1,40,370"," 10,753"
"Xiaomi 11T Pro 5G Hyperphone (Moonlight White, 256 GB)","₹34,990","₹36,699",4,4% off,459, 55
"Xiaomi 11T Pro 5G Hyperphone (Celestial Magic, 256 GB)","₹37,989","₹41,989",4.2,9% off,171, 24
"Redmi Y2 (Rose Gold, 64 GB)","₹13,499",Same as Sale Price,4.4,No Offer,"27,443"," 1,926"
"Mi A2 (Blue/Lake Blue, 64 GB)","₹17,499",Same as Sale Price,4.2,No Offer,"34,800"," 2,908"
"Mi 10T (Lunar Silver, 128 GB)","₹27,998","₹39,999",4.2,30% off,"4,018", 564
"Redmi Note 11 (Starburst White, 64 GB)","₹18,990",Same as Sale Price,4.2,No Offer,"9,051", 715
"Redmi 5A (Rose Gold, 16 GB)","₹5,999",Same as Sale Price,4.5,No Offer,"12,32,814"," 1,51,229"
"Redmi Note 5 (Rose Gold, 64 GB)","₹11,490",Same as Sale Price,4.4,No Offer,"3,58,068"," 39,640"
"Redmi Note 6 Pro (Black, 64 GB)","₹17,999",Same as Sale Price,4.5,No Offer,"1,27,517"," 10,938"
"Redmi 6 Pro (Rose Gold, 32 GB)","₹9,499",Same as Sale Price,4.3,No Offer,"11,479", 832
"Redmi 6 Pro (Black, 32 GB)","₹8,500",Same as Sale Price,4.3,No Offer,"11,479", 832
"Redmi Y1 lite (Gold, 16 GB)","₹7,999",Same as Sale Price,4.2,No Offer,"3,415", 289
"Redmi 5 (Lake Blue, 64 GB)","₹8,299","₹11,999",4.3,30% off,"4,945", 334
"Mi A3 (Kind of Grey, 64 GB)","₹14,999",Same as Sale Price,4.3,No Offer,"38,746"," 3,408"
"11 Lite NE (Tuscany Coral, 128 GB)","₹22,490","₹23,490",3.7,4% off,7, 2
"Redmi Note 8 (Moonlight White, 128 GB)","₹15,999",Same as Sale Price,4.4,No Offer,"14,376"," 1,072"
"Redmi 8A Dual (Sea Blue, 32 GB)","₹8,999",Same as Sale Price,4.2,No Offer,"18,219"," 1,189"
"10 Prime (Bifrost Blue, 64 GB)","₹14,990",Same as Sale Price,4.4,No Offer,114, 5
"Redmi 6 Pro (Lake Blue, 32 GB)","₹9,499",Same as Sale Price,4.3,No Offer,"11,479", 832
"Xiaomi 11i Hypercharge 5G (Camo Green, 128 GB)","₹28,999","₹33,999",4.2,14% off,"6,416", 718
"Mi A1 (Gold, 64 GB)","₹14,599","₹14,999",4.4,2% off,"4,70,903"," 72,245"
"Redmi Note 8 (Space Black, 128 GB)","₹15,999",Same as Sale Price,4.4,No Offer,"14,376"," 1,072"
"Redmi 5 (Gold, 32 GB)","₹9,999",Same as Sale Price,4.3,No Offer,"6,517", 513
"Redmi Y2 (Dark Grey, 32 GB)","₹10,499",Same as Sale Price,4.5,No Offer,"1,21,474"," 8,082"
"Redmi Note 4 (Lake Blue, 64 GB)","₹9,990",Same as Sale Price,4.4,No Offer,"13,41,623"," 2,11,791"
"Redmi 6 Pro (Red, 32 GB)","₹8,999",Same as Sale Price,4.3,No Offer,"11,479", 832
"Redmi 6 Pro (Red, 64 GB)","₹10,549",Same as Sale Price,4.3,No Offer,"10,890", 720
"Redmi 5A (Blue, 32 GB)","₹6,999",Same as Sale Price,4.4,No Offer,"6,06,469"," 64,658"
"REDMI Note 11T 5G (Aquamarine Blue, 64 GB)","₹16,795",Same as Sale Price,4.2,No Offer,"5,387", 438
"REDMI Note 11T 5G (Matte black, 128 GB)","₹19,999",Same as Sale Price,4.2,No Offer,"5,387", 438
"Redmi Y2 (Gold, 32 GB)","₹10,499",Same as Sale Price,4.5,No Offer,"1,21,474"," 8,082"
"REDMI Note 11T 5G (Stardust White, 128 GB)","₹19,999",Same as Sale Price,4.2,No Offer,"5,387", 438
"Redmi Y1 (Grey, 32 GB)","₹8,999",Same as Sale Price,4.3,No Offer,"20,126"," 1,714"
"Xiaomi 11T Pro 5G Hyperphone (Celestial Magic, 256 GB)","₹33,999",Same as Sale Price,4,No Offer,459, 55
"Mi 10i (Midnight Black, 128 GB)","₹21,975","₹24,198",4.3,9% off,"2,997", 231
"Mi 10i (Pacific Sunrise, 128 GB)","₹25,429",Same as Sale Price,4.3,No Offer,"1,613", 112
"Mi A1 (Black, 64 GB)","₹14,599","₹14,999",4.4,2% off,"4,70,903"," 72,245"
"REDMI Note 11 Pro (Star Blue, 128 GB)","₹20,000",Same as Sale Price,4.1,No Offer,620, 43
"Xiaomi 11Lite NE (Vinyl Black, 128 GB)","₹21,970","₹22,889",4.2,4% off,"3,209", 365
"Redmi Note 9 Pro (Aurora Blue, 128 GB)","₹15,990",Same as Sale Price,4.3,No Offer,"1,950", 101
"Mi 10i (Midnight Black, 128 GB)","₹24,215","₹25,918",4.3,6% off,"1,613", 112
"Redmi 7 (Eclipse Black, 32 GB)","₹8,799","₹10,999",4.4,20% off,"6,750", 487
"Redmi 7 (Comet Blue, 32 GB)","₹8,999","₹10,999",4.4,18% off,"6,750", 487
"Mi A2 (Red, 128 GB)","₹20,299","₹20,500",4.1,No Offer,"3,217", 291
"Redmi Note 11 (Starburst White, 64 GB)","₹17,899",Same as Sale Price,4.2,No Offer,"9,131", 840
"Redmi Note 5 (Blue, 64 GB)","₹11,999",Same as Sale Price,4.4,No Offer,"3,58,068"," 39,640"
"11 Lite NE (Tuscany Coral, 128 GB)","₹22,490","₹23,490",3.7,4% off,7, 2
"Redmi Note 8 (Moonlight White, 128 GB)","₹15,999",Same as Sale Price,4.4,No Offer,"14,376"," 1,072"
"Redmi 8A Dual (Sea Blue, 32 GB)","₹8,999",Same as Sale Price,4.2,No Offer,"18,219"," 1,189"
"10 Prime (Bifrost Blue, 64 GB)","₹14,990",Same as Sale Price,4.4,No Offer,114, 5
"Xiaomi 11i Hypercharge 5G (Camo Green, 128 GB)","₹28,999","₹33,999",4.2,14% off,"6,416", 718
"Mi A3 (Not just Blue, 64 GB)","₹14,999",Same as Sale Price,4.3,No Offer,"38,746"," 3,408"
"Redmi Note 8 (Space Black, 128 GB)","₹15,999",Same as Sale Price,4.4,No Offer,"14,376"," 1,072"
"Redmi 5 (Gold, 32 GB)","₹9,999",Same as Sale Price,4.3,No Offer,"6,517", 513
"Redmi Note 4 (Lake Blue, 64 GB)","₹9,990",Same as Sale Price,4.4,No Offer,"13,41,623"," 2,11,791"
"Redmi 5A (Blue, 32 GB)","₹6,999",Same as Sale Price,4.4,No Offer,"6,06,469"," 64,658"
"REDMI Note 11T 5G (Aquamarine Blue, 64 GB)","₹16,795",Same as Sale Price,4.2,No Offer,"5,387", 438
"REDMI Note 11T 5G (Matte black, 128 GB)","₹19,999",Same as Sale Price,4.2,No Offer,"5,387", 438
"REDMI Note 11T 5G (Stardust White, 128 GB)","₹19,999",Same as Sale Price,4.2,No Offer,"5,387", 438
"Redmi Y1 (Grey, 32 GB)","₹8,999",Same as Sale Price,4.3,No Offer,"20,126"," 1,714"
"Mi 10i (Midnight Black, 128 GB)","₹21,975","₹24,198",4.3,9% off,"2,997", 231
"Mi 10i (Pacific Sunrise, 128 GB)","₹25,429",Same as Sale Price,4.3,No Offer,"1,613", 112
"Mi A1 (Black, 64 GB)","₹14,599","₹14,999",4.4,2% off,"4,70,903"," 72,245"
"REDMI Note 11 Pro (Star Blue, 128 GB)","₹20,000",Same as Sale Price,4.1,No Offer,620, 43
"Xiaomi 11Lite NE (Vinyl Black, 128 GB)","₹21,970","₹22,889",4.2,4% off,"3,209", 365
"Redmi Note 9 Pro (Aurora Blue, 128 GB)","₹15,990",Same as Sale Price,4.3,No Offer,"1,950", 101
"Mi 10i (Midnight Black, 128 GB)","₹24,215","₹25,918",4.3,6% off,"1,613", 112
